"concept_id","concept_name","concept_code","vocabulary_id","category"
21072715,"Felodipine 5 MG Extended Release Oral Tablet [Folpik]","OMOP372015","RxNorm Extension","ccb"
36278800,"5 ML Nicardipine 1 MG/ML Injection [Rydene] Box of 10","OMOP3129675","RxNorm Extension","ccb"
36786492,"Diltiazem 200 MG Extended Release Oral Capsule Box of 98","OMOP4774763","RxNorm Extension","ccb"
41065219,"Diltiazem 60 MG Oral Tablet [Dilzem] Box of 100","OMOP2263181","RxNorm Extension","ccb"
36896431,"100 ML clevidipine 0.5 MG/ML Injectable Suspension","OMOP1000250","RxNorm Extension","ccb"
43184894,"Diltiazem 180 MG [MONO TILDIEM L]","OMOP501411","RxNorm Extension","ccb"
44121106,"Verapamil Oral Tablet [Alti-Verapamil]","OMOP1115737","RxNorm Extension","ccb"
42950406,"Amlodipine 10 MG / Losartan 50 MG Oral Tablet [DONGKOOZALTAN]","OMOP4676982","RxNorm Extension","ccb"
42972545,"Amlodipine 5 MG / atorvastatin 10 MG [NEWPEX DUO]","OMOP4698954","RxNorm Extension","ccb"
43276527,"Amlodipine 5 MG Oral Tablet Box of 30 by Blooms The Chemist","OMOP539247","RxNorm Extension","ccb"
21076056,"Verapamil 80 MG Oral Tablet [Cordilox] Box of 84 by Ivax","OMOP267207","RxNorm Extension","ccb"
21154729,"Diltiazem 120 MG [Adizem-SR]","OMOP270469","RxNorm Extension","ccb"
41268059,"Verapamil Delayed Release Oral Tablet [Vera Ct]","OMOP2466021","RxNorm Extension","ccb"
21044964,"Nifedipine 60 MG Extended Release Oral Tablet [Slofedipine XL] Box of 28 by Zentiva","OMOP404432","RxNorm Extension","ccb"
44042426,"Amlodipine 10 MG / atorvastatin 40 MG [Apo-Amlodipine-Atorvastatin]","OMOP1037057","RxNorm Extension","ccb"
36273056,"lercanidipine 10 MG Delayed Release Oral Tablet [Zanidip] Box of 56","OMOP3123931","RxNorm Extension","ccb"
36257953,"Enalapril 10 MG / lercanidipine 10 MG Oral Tablet [Enalapril / Lercanidipine Krka] Box of 98","OMOP3108828","RxNorm Extension","ccb"
21053027,"Amlodipine 10 MG/ML Oral Suspension by Special Order","OMOP372392","RxNorm Extension","ccb"
1308028,"Verapamil 360 MG 24 Hour Extended Release Capsule","313593","RxNorm","ccb"
43214332,"Amlodipine 10 MG Oral Capsule [AMLOR] Box of 30 by Pfizer","OMOP470423","RxNorm Extension","ccb"
2066076,"amlodipine 10 MG / valsartan 160 MG [NOVALTAN]","OMOP4967429","RxNorm Extension","ccb"
40717233,"2 ML Verapamil 2.5 MG/ML Injectable Solution [Securon] by Mylan","OMOP4739907","RxNorm Extension","ccb"
40967371,"Nifedipine 50 MG Oral Tablet [Corinfar] Box of 100","OMOP2165333","RxNorm Extension","ccb"
40034941,"Diltiazem 120 MG Extended Release Tablet","200281","RxNorm","ccb"
42930972,"Amlodipine Oral Tablet [SKAD]","OMOP4657738","RxNorm Extension","ccb"
35140073,"Amlodipine 2.5 MG Disintegrating Oral Tablet by ASKA","OMOP4797221","RxNorm Extension","ccb"
42930587,"Amlodipine 5 MG Oral Tablet [NOVASCAN]","OMOP4657352","RxNorm Extension","ccb"
41179744,"Felodipine 5 MG / Metoprolol 47.5 MG Oral Tablet Box of 28","OMOP2377706","RxNorm Extension","ccb"
36777162,"Olmesartan / Amlodipine Teva","OMOP4765498","RxNorm Extension","ccb"
