concept_id,concept_code,concept_name,body_system,progressive,icd
44821834,312.9,Unspecified disturbance of conduct,mental health,no,9
44824629,788.39,Other urinary incontinence,genitourinary,no,9
44827671,307.7,Encopresis,mental health,no,9
44822247,743.61,Congenital ptosis,otologic,no,9
44828956,379.4,Anomalies of pupillary function,ophthalmological,no,9
44825285,288.4,Hemophagocytic syndromes,immunological,yes,9
44829052,569.44,Dysplasia of anus,gastrointestinal,no,9
44833380,273,Disorders of plasma protein metabolism,metabolic,no,9
44831049,252,Disorders of parathyroid gland,endocrinological,no,9
44831050,254,Diseases of thymus gland,endocrinological,no,9
44831052,257,Testicular dysfunction,endocrinological,no,9
44820892,505,"Pneumoconiosis, unspecified",pulmonary/respiratory,no,9
44821206,753.5,Exstrophy of urinary bladder,genitourinary,no,9
44819976,728.2,"Muscular wasting and disuse atrophy, not elsewhere classified",musculoskeletal,no,9
44835836,344.03,"Quadriplegia, C5-C7, complete",neurological,no,9
44821000,629.23,Female genital mutilation Type III status,genitourinary,no,9
44820739,310,Frontal lobe syndrome,mental health,no,9
44835769,285.29,Anemia of other chronic disease,hematological,no,9
44821966,453.76,Chronic venous embolism and thrombosis of internal jugular veins,cardiac,no,9
44821969,457.2,Lymphangitis,cardiac,no,9
44822718,V57.89,Care involving other specified rehabilitation procedure,musculoskeletal,no,9
44819515,265,Thiamine and niacin deficiency states,metabolic,no,9
44820888,491,Chronic bronchitis,pulmonary/respiratory,no,9
44821182,742.3,Congenital hydrocephalus,neurological,yes,9
44819941,710,Systemic lupus erythematosus,immunological,yes,9
44820925,530.13,Eosinophilic esophagitis,gastrointestinal,no,9
44820926,530.6,"Diverticulum of esophagus, acquired",gastrointestinal,no,9
44821186,743.69,"Other congenital anomalies of eyelids, lacrimal system, and orbit",otologic,no,9
44821188,744.3,Unspecified anomaly of ear,ophthalmological,no,9
44821191,745.2,Tetralogy of fallot,cardiac,yes,9
44821197,750.1,Other congenital anomalies of tongue,gastrointestinal,no,9
44821200,750.7,Other specified anomalies of stomach,gastrointestinal,no,9
44821203,753.1,Cystic kidney disease,genitourinary,yes,9
44819990,736.72,"Equinus deformity of foot, acquired",musculoskeletal,no,9
44821252,788.33,Mixed incontinence (male) (female),genitourinary,no,9
44820003,744,Congenital anomalies of ear causing impairment of hearing,ophthalmological,no,9
44820010,749,Cleft palate and cleft lip,craniofacial,no,9
44820012,751.7,Anomalies of pancreas,gastrointestinal,yes,9
44820962,576.5,Spasm of sphincter of Oddi,gastrointestinal,no,9
44820964,579,Celiac disease,gastrointestinal,no,9
44820966,581,Nephrotic syndrome,renal,no,9
44820972,591,Hydronephrosis,genitourinary,no,9
44820976,596.55,Detrusor sphincter dyssynergia,renal,no,9
44819316,12,Other respiratory tuberculosis,pulmonary/respiratory,no,9
44820190,906.6,Late effect of burn of wrist and hand,musculoskeletal,no,9
44820747,327.29,Other organic sleep apnea,pulmonary/respiratory,no,9
44820754,335,Anterior horn cell disease,neurological,yes,9
44820785,362.1,Other background retinopathy and retinal vascular changes,ophthalmological,no,9
44820786,362.33,Partial retinal arterial occlusion,ophthalmological,no,9
44820787,362.43,Hemorrhagic detachment of retinal pigment epithelium,ophthalmological,no,9
44820788,362.53,Cystoid macular degeneration,ophthalmological,no,9
44820789,362.61,Paving stone degeneration,ophthalmological,no,9
44820790,362.74,Pigmentary retinal dystrophy,ophthalmological,no,9
44820017,753,Renal agenesis and dysgenesis,genitourinary,yes,9
44820019,754.3,"Congenital dislocation of hip, unilateral",musculoskeletal,no,9
44820020,754.33,"Congenital subluxation of hip, bilateral",musculoskeletal,no,9
44820028,756.7,"Anomalies of abdominal wall, congenital",musculoskeletal,yes,9
44820031,758.8,Other conditions due to chromosome anomalies,genetic,no,9
44820805,369.69,One eye: profound vision impairment; other eye: normal vision,ophthalmological,no,9
44820825,377,Disorders of optic nerve and visual pathways,ophthalmological,no,9
44820831,378.5,Paralytic strabismus,ophthalmological,no,9
44820844,387,Otosclerosis,otologic,no,9
44820845,388.1,Noise effects on inner ear,otologic,no,9
44820848,389.1,Sensorineural hearing loss,neurological,no,9
44820850,393,Chronic rheumatic pericarditis,cardiac,no,9
44820851,395,Diseases of aortic valve,cardiac,no,9
44820853,397,Diseases of other endocardial structures,cardiac,no,9
44820856,404.13,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",renal,yes,9
44820864,412,Old myocardial infarction,cardiac,yes,9
44820873,433,Occlusion and stenosis of precerebral arteries,neurological,yes,9
44821134,718.2,Pathological dislocation,musculoskeletal,no,9
44821165,732,Juvenile osteochondrosis of spine,musculoskeletal,no,9
44821169,736.07,"Club hand, acquired",musculoskeletal,no,9
44821177,736.73,"Cavus deformity of foot, acquired",musculoskeletal,no,9
44823825,V42.2,Heart valve replaced by transplant,cardiac,yes,9
44823842,V53.0,Fitting and adjustment of devices related to nervous system and special senses,neurological,no,9
44821926,378.3,Other and unspecified heterotropia,ophthalmological,no,9
44819667,378.1,Exotropia,ophthalmological,no,9
44819685,386,Vertiginous syndromes and other disorders of vestibular system,otologic,no,9
44819688,389.2,Mixed conductive and sensorineural hearing loss,neurological,no,9
44819692,404.01,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",renal,yes,9
44819693,404.03,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",renal,yes,9
44819695,404.11,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",renal,yes,9
44819696,404.91,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",renal,yes,9
44821929,379.5,Nystagmus and other irregular eye movements,ophthalmological,no,9
44821946,389.7,"Deaf, nonspeaking, not elsewhere classifiable",neurological,no,9
44821950,404.92,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease",renal,yes,9
44821956,427.1,Paroxysmal ventricular tachycardia,cardiac,no,9
44819711,429.1,Myocardial degeneration,cardiac,yes,9
44820542,18,Miliary tuberculosis,pulmonary/respiratory,no,9
44822885,184,Malignant neoplasm of other and unspecified female genital organs,malignancy,no,9
44822887,185,Malignant neoplasm of prostate,malignancy,no,9
44819497,244,Acquired hypothyroidism,endocrinological,no,9
44820593,136.3,Pneumocystosis,pulmonary/respiratory,no,9
44821735,195,Malignant neoplasm of other and ill-defined sites,malignancy,no,9
44822928,240,Simple and unspecified goiter,endocrinological,no,9
44822938,253.5,Diabetes insipidus,endocrinological,no,9
44821758,204,Lymphoid leukemia,malignancy,no,9
44819728,446,Polyarteritis nodosa and allied conditions,immunological,no,9
44819731,453.5,Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity,cardiac,no,9
44819732,453.74,Chronic venous embolism and thrombosis of axillary veins,cardiac,no,9
44819733,453.75,Chronic venous embolism and thrombosis of subclavian veins,cardiac,no,9
44819740,476,Chronic laryngitis,pulmonary/respiratory,no,9
44820606,162,"Malignant neoplasm of trachea, bronchus, and lung",malignancy,no,9
44820621,191,Malignant neoplasm of brain,malignancy,no,9
44825005,V42.84,"Organ or tissue replaced by transplant, intestines",gastrointestinal,yes,9
44822024,536.3,Gastroparesis,gastrointestinal,no,9
44822040,572.3,Portal hypertension,gastrointestinal,yes,9
44822042,576.8,Other specified disorders of biliary tract,gastrointestinal,no,9
44821096,702,Other dermatoses,dermatological,no,9
44819512,262,Other severe protein-calorie malnutrition,metabolic,no,9
44819513,263.2,Arrested development following protein-calorie malnutrition,metabolic,no,9
44819523,277.6,Other deficiencies of circulating enzymes,immunological,no,9
44819527,281,Pernicious anemia,hematological,no,9
44819533,288.1,Functional disorders of polymorphonuclear neutrophils,immunological,yes,9
44819544,300.81,Somatization disorder,mental health,no,9
44819550,303.9,Other and unspecified alcohol dependence,mental health,no,9
44821791,268.2,"Osteomalacia, unspecified",metabolic,no,9
44821805,284.12,Other drug-induced pancytopenia,hematological,no,9
44821806,284.19,Other pancytopenia,hematological,no,9
44821807,286.2,Congenital factor XI deficiency,hematological,yes,9
44821813,294,Amnestic disorder in conditions classified elsewhere,mental health,no,9
44819562,312.4,Mixed disturbance of conduct and emotions,mental health,no,9
44819564,315.34,Speech and language developmental delay due to hearing loss,mental health,no,9
44819568,327.2,"Organic sleep apnea, unspecified",pulmonary/respiratory,no,9
44819569,327.24,Idiopathic sleep related non-obstructive alveolar hypoventilation,pulmonary/respiratory,no,9
44819570,327.27,Central sleep apnea in conditions classified elsewhere,pulmonary/respiratory,no,9
44820426,V42.81,Bone marrow replaced by transplant,hematological,yes,9
44819808,575.6,Cholesterolosis of gallbladder,gastrointestinal,no,9
44819809,576,Postcholecystectomy syndrome,gastrointestinal,no,9
44819810,576.4,Fistula of bile duct,gastrointestinal,no,9
44821823,299.8,Other specified pervasive developmental disorders,mental health,no,9
44821835,314,Attention deficit disorder of childhood,mental health,no,9
44821836,314.1,Hyperkinesis with developmental delay,mental health,no,9
44821841,333.2,Myoclonus,neurological,yes,9
44821842,333.4,Huntington's chorea,neurological,yes,9
44821843,333.5,Other choreas,neurological,yes,9
44821844,333.6,Genetic torsion dystonia,neurological,yes,9
44821845,333.91,Stiff-man syndrome,neurological,yes,9
44821848,336,Other diseases of spinal cord,neurological,yes,9
44819327,15,Tuberculosis of bones and joints,pulmonary/respiratory,no,9
44820447,V53.2,Fitting and adjustment of hearing aid,neurological,no,9
44820448,V53.3,Fitting and adjustment of cardiac pacemaker,cardiac,no,9
44820449,V53.5,Fitting and adjustment of other gastrointestinal appliance and device,gastrointestinal,no,9
44820454,V55.1,Attention to gastrostomy,gastrointestinal,no,9
44820676,238.77,Post-transplant lymphoproliferative disorder (PTLD),malignancy,no,9
44822775,10,Primary tuberculous infection,pulmonary/respiratory,no,9
44820690,274,Gout,metabolic,no,9
44820694,277.1,Disorders of porphyrin metabolism,metabolic,no,9
44820695,277.3,Amyloidosis,metabolic,yes,9
44820699,282.6,Sickle-cell disease,hematological,yes,9
44820702,287.1,Qualitative platelet defects,hematological,no,9
44820715,295.6,Residual type schizophrenic disorders,mental health,yes,9
44820716,295.7,Schizoaffective disorder,mental health,yes,9
44820726,301.2,Schizoid personality disorder,mental health,no,9
44819583,340,Multiple sclerosis,neurological,yes,9
44819598,349.2,"Disorders of meninges, not elsewhere classified",neurological,no,9
44819600,350,Trigeminal nerve disorders,neurological,no,9
44819611,362.75,Other dystrophies primarily involving the sensory retina,ophthalmological,no,9
