"concept_id","concept_name","concept_code","vocabulary_id","category"
41359951,"5 ML Timolol 0.5 MG/ML Prefilled Applicator [Arutimol] Box of 6","OMOP2557913","RxNorm Extension","betablocker"
41186312,"nebivolol 5 MG Oral Tablet [Nebivolol Stada] Box of 50","OMOP2384274","RxNorm Extension","betablocker"
21035190,"Atenolol 100 MG Oral Tablet by Alliance","OMOP406077","RxNorm Extension","betablocker"
43206010,"Bisoprolol 1.25 MG Oral Tablet [BISOPROLOL TEVA] Box of 90 by TEVA","OMOP493843","RxNorm Extension","betablocker"
36262328,"Bisoprolol 10 MG Oral Tablet Box of 60","OMOP3113203","RxNorm Extension","betablocker"
43206004,"Bisoprolol 1.25 MG Delayed Release Oral Tablet [BISOCE] Box of 90 by Mylan","OMOP493804","RxNorm Extension","betablocker"
36074281,"celiprolol 200 MG Delayed Release Oral Tablet by Phoenix Healthcare Distribution","OMOP4985878","RxNorm Extension","betablocker"
21105880,"Metoprolol 1.6 MG/ML Oral Solution","OMOP275586","RxNorm Extension","betablocker"
40943421,"Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Teneretic] Box of 30","OMOP2141383","RxNorm Extension","betablocker"
43603529,"ivabradine 7.5 MG / Metoprolol 25 MG Oral Tablet","OMOP954474","RxNorm Extension","betablocker"
41093075,"Metoprolol 100 MG Extended Release Oral Tablet [Metoprololsuccinat 1a Pharma]","OMOP2291037","RxNorm Extension","betablocker"
43729523,"Metoprolol 200 MG Extended Release Oral Tablet [Beloc-Zok] by Astrazeneca","OMOP955569","RxNorm Extension","betablocker"
41200392,"Bisoprolol 5 MG Delayed Release Oral Tablet [Bisomerck] Box of 100 by Mylan","OMOP2398354","RxNorm Extension","betablocker"
40980871,"carvedilol 12.5 MG Oral Tablet [Cefaclor Heumann] Box of 100 by Heumann","OMOP2178833","RxNorm Extension","betablocker"
40947221,"Metoprolol 100 MG Oral Tablet Box of 100 by AAA-Pharma","OMOP2145183","RxNorm Extension","betablocker"
19117262,"Propranolol 160 MG [Angilol]","565484","RxNorm","betablocker"
21105533,"Propranolol 0.55 MG/ML Oral Solution by Special Order","OMOP269238","RxNorm Extension","betablocker"
40936827,"Metoprolol 200 MG Extended Release Oral Tablet [Metoprolol Succinat Beta]","OMOP2134789","RxNorm Extension","betablocker"
41197383,"Metoprolol 190 MG Oral Tablet [Metoprololsuccinat Bioeq Pharma] Box of 30 by Bioeq","OMOP2395345","RxNorm Extension","betablocker"
40973905,"Bisoprolol 5 MG Oral Tablet [Bisoprolol Stada] Box of 100","OMOP2171867","RxNorm Extension","betablocker"
41223987,"Bisoprolol 5 MG Delayed Release Oral Tablet [Bisoprolol Awd]","OMOP2421949","RxNorm Extension","betablocker"
41314870,"dorzolamide 4.45 MG/ML / Timolol 1.37 MG/ML Prefilled Applicator [Dorzotim Sandoz]","OMOP2512832","RxNorm Extension","betablocker"
43267313,"Metoprolol 100 MG Oral Tablet Box of 60","OMOP538757","RxNorm Extension","betablocker"
35133325,"Propranolol 10 MG Oral Tablet by Towa","OMOP4790536","RxNorm Extension","betablocker"
41249052,"Metoprolol 200 MG Extended Release Oral Tablet [Metoprolol Stada] Box of 98","OMOP2447014","RxNorm Extension","betablocker"
35770333,"Bisoprolol 3.75 MG Delayed Release Oral Tablet by A A H","OMOP2771794","RxNorm Extension","betablocker"
36229622,"Tenchlor Oral Product","1181442","RxNorm","betablocker"
41268733,"Metoprolol Oral Tablet [Metoprolol 1a Phar]","OMOP2466695","RxNorm Extension","betablocker"
40996074,"Sotalol 40 MG Oral Tablet [Sotabeta] Box of 100","OMOP2194036","RxNorm Extension","betablocker"
43807248,"5 ML Timolol 7 MG/ML Prefilled Applicator [Arutidor] Box of 3","OMOP769071","RxNorm Extension","betablocker"
43162490,"Celiprolol 200 MG Delayed Release Oral Tablet [CELIPROLOL EVOLUGEN] Box of 28","OMOP496406","RxNorm Extension","betablocker"
43173207,"Bisoprolol 10 MG [BISOPROLOL QUALIMED]","OMOP493900","RxNorm Extension","betablocker"
42942928,"Timolol 2.5 MG/ML [RYSMON TG]","OMOP4669562","RxNorm Extension","betablocker"
40874561,"Metoprolol 200 MG Extended Release Oral Tablet [Meto Puren] Box of 50","OMOP2072523","RxNorm Extension","betablocker"
21162990,"Atenolol 50 MG Oral Tablet [Tenormin LS] by Astrazeneca","OMOP406048","RxNorm Extension","betablocker"
44164093,"Celiprolol 200 MG Delayed Release Oral Tablet [Celip] Box of 30 by Basics","OMOP3040816","RxNorm Extension","betablocker"
41353348,"5 ML Pilocarpine 20 MG/ML / Timolol 7 MG/ML Prefilled Applicator","OMOP2551310","RxNorm Extension","betablocker"
40999299,"Metoprolol 100 MG Extended Release Oral Tablet [Metoprolol Succinat Actavis] Box of 30","OMOP2197261","RxNorm Extension","betablocker"
36271219,"Atenolol 100 MG Oral Tablet [ATENOLOL EG] Box of 28 by Eurogenerics","OMOP3122094","RxNorm Extension","betablocker"
41116749,"Hydrochlorothiazide 25 MG / Propranolol 160 MG / Triamterene 50 MG Oral Tablet Box of 56","OMOP2314711","RxNorm Extension","betablocker"
41359907,"5 ML Bupranolol 2.5 MG/ML Prefilled Applicator Box of 1","OMOP2557869","RxNorm Extension","betablocker"
44049955,"Nadolol 80 MG Oral Tablet by AA","OMOP1044586","RxNorm Extension","betablocker"
41283126,"esmolol 1 MG/ML Injectable Solution [Brevibloc] Box of 5","OMOP2481088","RxNorm Extension","betablocker"
40878145,"dorzolamide 22.3 MG/ML / Timolol 7 MG/ML Prefilled Applicator [Dorzolamid Ratiopharm]","OMOP2076107","RxNorm Extension","betablocker"
41161769,"Bisoprolol 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Bisoplus Al] Box of 50","OMOP2359731","RxNorm Extension","betablocker"
43151320,"Celiprolol 200 MG Delayed Release Oral Tablet [CELIPROLOL ALMUS] Box of 28","OMOP496387","RxNorm Extension","betablocker"
43621466,"Metoprolol 100 MG [Metoprolol Zot Stada]","OMOP954349","RxNorm Extension","betablocker"
41324338,"carvedilol 3.125 MG Oral Tablet [Carvedilol Isis] Box of 28 by Puren","OMOP2522300","RxNorm Extension","betablocker"
43807237,"5 ML Timolol 3.42 MG/ML Prefilled Applicator [Timolol-Pos]","OMOP768933","RxNorm Extension","betablocker"
43216239,"Acebutolol 400 MG Delayed Release Oral Tablet [ACEBUTOLOL SANDOZ]","OMOP487737","RxNorm Extension","betablocker"
